ASIN编码,商品标题,价格,划线价,常规价格,折扣百分比,评分,评论数量,近30天销量,优惠券,品牌名称,卖家名称,配送方式,限时特价,AC亚马逊之选,父ASIN,首次上架日期,原产国,畅销排名,详细信息,商品描述,变体信息,图片链接,尺寸,颜色
"B07ST1YMH1","Amazon Brand - Mama Bear Gentle Touch Diapers, Hypoallergenic, Newborn, 120 Count (4 Pack of 30), White",26.19,0,0,0,4.3,59851,2000,,"Mama Bear","Amazon.com","Amazon.com",false,false,"B0BMQ3G124","2019-09-28",,"[{""rank"":""14"",""category"":""Baby""},{""rank"":""6"",""category"":""Disposable Diapers""}]","{""ProductDimensions"":""12.82 x 9.07 x 11.89 inches; 5.06 Pounds"",""DateFirstAvailable"":""September 28, 2019"",""Manufacturer"":""Amazon.com Services, LLC"",""ASIN"":""B07ST1YMH1"",""CountryofOrigin"":""USA""}","IN THE BOX: Mama Bear Gentle Touch Diapers for newborns; (4 packs of 30 diapers each, 120 total)
HYPOALLERGENIC & PARABEN-FREE: Dermatologist tested and hypoallergenic for baby’s sensitive skin; Free of chlorine bleaching, perfumes, lotions, parabens, and phthalates
LEAKAGE PROTECTION: Up to 12 hours of protection; Wetness Indicator shows when it’s time for a change
COMFORT FIT: Thin design with flexible fit for comfortable movement
BREATHEABLE COVER: Outer cover helps keep baby’s skin dry and healthy
SIZING RECOMMENDATION: First-time users, consider getting the size your child currently wears; if the fit is snug, size up
An Amazon brand; Bags contain 20% Post Consumer Recycled Materials","{""parentAsin"":""B0BMQ3G124"",""variations"":{""colors"":[],""styles"":[{""asin"":""B07T4WQRN1"",""name"":""Size 1 (49 Count)"",""isAvailable"":true},{""asin"":""B07SYCR7QY"",""name"":""Size 1 (196 Count)"",""isAvailable"":true},{""asin"":""B07SZLLBBG"",""name"":""Size 2 (46 Count)"",""isAvailable"":true},{""asin"":""B07SXBZQBX"",""name"":""Size 2 (184 Count)"",""isAvailable"":true},{""asin"":""B07SZLKQJ9"",""name"":""Size 3 (42 Count)"",""isAvailable"":true},{""asin"":""B07SYCRR58"",""name"":""Size 3, 42 Count (Pack of 4)"",""isAvailable"":true},{""asin"":""B07T1PYLGL"",""name"":""Size 4 (37 Count)"",""isAvailable"":true},{""asin"":""B07SV3XWZ7"",""name"":""Size 4 (148 Count)"",""isAvailable"":true},{""asin"":""B07T4WQRNJ"",""name"":""Size 5 (33 Count)"",""isAvailable"":true},{""asin"":""B07SXBX1DM"",""name"":""Size 5 (132 Count)"",""isAvailable"":true},{""asin"":""B07T2QM32L"",""name"":""Size 6 (27 Count)"",""isAvailable"":true},{""asin"":""B07SXBZQCG"",""name"":""Size 6 (108 Count)"",""isAvailable"":true},{""asin"":""B07T612L77"",""name"":""Size 7 (20 Count)"",""isAvailable"":true},{""asin"":""B07SYCRDR8"",""name"":""Size 7 (80 Count)"",""isAvailable"":true},{""asin"":""B07T3SD4XY"",""name"":""Newborn (30 Count)"",""isAvailable"":true},{""asin"":""B07ST1YMH1"",""name"":""Newborn, 30 Count (Pack of 4)"",""isAvailable"":true}],""totalVariations"":0,""summary"":{""totalColors"":0,""availableColors"":0,""totalStyles"":16,""availableStyles"":16}}}","https://m.media-amazon.com/images/I/71Bj87+57TL._AC_SX300_SY300_.jpg","",""
"B001F0RAVQ","Aquaphor Baby Healing Ointment, Advanced Therapy for Chapped Cheeks and Diaper Rash, 3 Ounce (Pack of 3)",29.09,0,0,0,4.8,6862,4000,,"Aquaphor","Amazon.com","Amazon.com",false,true,"B0D7CSKGNW",,,"[{""rank"":""1008"",""category"":""Baby""},{""rank"":""30"",""category"":""Diaper Creams""},{""rank"":""964"",""category"":""Sales & Deals""}]","{""IsDiscontinuedByManufacturer"":""No"",""ProductDimensions"":""7.5 x 1.97 x 5.28 inches; 9 ounces"",""Manufacturerrecommendedage"":""24 months - 5 years"",""Itemmodelnumber"":""3226"",""Department"":""baby-boys"",""UPC"":""072140033392"",""Manufacturer"":""Aquaphor"",""ASIN"":""B001F0RAVQ"",""CountryofOrigin"":""USA""}","One Essential Solution: Aquaphor Baby Healing Ointment is clinically proven to restore smooth, healthy skin, a perfect multi-purpose solution for your baby's many skin care needs
Safe for Tender Skin: Provide extra gentle care for your baby’s tender and delicate skin by applying Aquaphor dry skin ointment to irritated and chapped skin from teething, drool rash and more
Diaper Rash Prevention: Use Aquaphor Ointment as a preventative diaper rash ointment and apply with every diaper change to protect the skin from wetness, acidity and chafing to help avoid rashes
Great for Parents Too: Parents can also use the dry skin ointment as a body moisturizer, to soften dry hands and cuticles, cracked heels or chapped lips
Includes three (3) 3 ounce tubes of Aquaphor Baby Healing Ointment Advanced Therapy Skin Protectant","{""parentAsin"":""B0D7CSKGNW"",""variations"":{""colors"":[],""styles"":[{""asin"":""B001F0RAVQ"",""name"":""3 Ounce (Pack of 3)"",""isAvailable"":true},{""asin"":""B001FB5INW"",""name"":""14 Ounce (Pack of 2)"",""isAvailable"":true},{""asin"":""B008RU6PJU"",""name"":""14 Ounce (Pack of 3)"",""isAvailable"":true}],""totalVariations"":0,""summary"":{""totalColors"":0,""availableColors"":0,""totalStyles"":3,""availableStyles"":3}}}","https://m.media-amazon.com/images/I/41R8oF4kpdL._SX300_SY300_QL70_ML2_.jpg","",""